,star_name,star_sp_type,d_star(pc),radius_star(r_sun),mass_star(m_sun),p_rot(days),bfield_star(gauss),planet_name,mass_planet(m_earth),radius_planet(r_earth),p_orb(days),a(au),T_corona(MK),mdot(mdot_sun),eccentricity
0,Trappist-1,M8,12.1,0.117,0.08,3.3,600.0,Trappist-1 b,0.79,1.086,1.511,0.011,2.0,1.5,0.0
2,YZCet,M4.5,3.7,0.163,0.137,68.5,220.0,YZCet b Model A,0.7,0.89,2.02,0.01638019027,1.5,5.0,0.0
1,YZCet,M4.5,3.7,0.163,0.137,68.5,220.0,YZCet b Model B,0.7,0.89,2.02,0.01638019027,1.5,0.25,0.0
3,Proxima,M5.5,1.3,0.14,0.12,83.0,200.0,Proxima b Kavanagh,1.27,1.06,11.2,0.0481989239,2.0,0.25,0.0
4,Proxima,M5.5,1.3,0.14,0.12,83.0,200.0,Proxima b Kavanagh,1.27,1.06,11.2,0.0481989239,3.0,0.25,0.0
5,Proxima,M5.5,1.3,0.154,0.122,82.6,600.0,Proxima b Turnpenney,1.3,1.1,11.186,0.05,2.0,1.5,0.0
6,Proxima,M5.5,1.3,0.154,0.122,82.6,600.0,Proxima b Turnpenney 3MK,1.3,1.1,11.186,0.05,3.0,1.5,0.0
7,Proxima,M5.5,1.3,0.14,0.12,83.0,200,Proxima d Klein,0.26,0.69,5.167,0.029,3.0,0.25,0.0
8,Proxima,M5.5,1.3,0.14,0.12,83.0,600,Proxima d Turnpenney,0.26,0.69,5.167,0.029,3.0,1.5,0.0
9,61 Vir,G5V,8.52,0.94,0.95,30.0,1.0,61 Vir b,5.0848,,4.215,0.05,2.0,0.3,0.0
10,HD99492,K3,18.0,0.96,0.83,68.5,100.0,HD99492 b,25.48756,,17.0,0.122,3.2,,0.0
11,HD99492,K3,18.0,0.96,0.83,68.5,10.0,HD99492 b,25.48756,,17.0,0.122,3.2,,0.0
12,HD238090,K5/M0,14.24,0.57,0.578,96.7,207.0,HD238090 b,6.889904,,16.7,0.093,3.0,,0.0
13,K2-155(LP415-17),K6,82.0,0.58,0.65,46.2,248.0,K2-155 b,4.70344,,17.0,0.056,3.0,,0.0
14,Proxima,M5.5,1.3,0.154,0.122,82.6,600.0,Proxima b Turn-regular ,1.3,1.1,11.186,0.05,2.0,1.5,0.0
16,Trappist-1,M8,12.1,0.117,0.08,3.3,600.0,Trappist-1 b Turn-regular,0.79,1.086,1.511,0.011,2.0,1.5,0.0
